//,left,  eye ,  
5.3, 1.8, 5.5, 2.9, 5.2, 2.5,
5.5, 2.9, 5.1, 2.8, 5.2, 2.5,
5.5, 2.9, 5.0, 3.4, 5.1, 2.8,
5.1, 2.8, 5.0, 3.4, 4.6, 2.6,
4.6, 2.6, 5.0, 3.4, 3.1, 3.5,
3.1, 3.5, 4.1, 2.8, 4.6, 2.6,
4.1, 2.8, 3.1, 3.5, 3.5, 2.8,
3.5, 2.8, 4.0, 2.4, 4.1, 2.8,
4.0, 2.4, 3.5, 2.8, 3.6, 1.7,
3.6, 1.7, 3.3, 1.4, 4.0, 2.4,
4.0, 2.4, 3.3, 1.4, 4.5, 2.0,
4.5, 2.0, 3.3, 1.4, 4.5, 1.6,
4.5, 1.6, 3.3, 1.4, 4.8, 1.4,
4.8, 1.4, 5.3, 1.8, 4.9, 1.8,
4.9, 1.8, 5.3, 1.8, 5.2, 2.5,
4.5, 2.0, 4.3, 2.5, 4.0, 2.4,
4.5, 2.0, 4.6, 2.5, 4.3, 2.5,
4.3, 2.5, 4.6, 2.6, 4.1, 2.8,
     
//, left, top, ,  shine
4.5, 1.6, 4.9, 1.8, 4.5, 2.0,
4.5, 2.0, 4.9, 1.8, 5.2, 2.5,
5.2, 2.5, 4.6, 2.6, 4.5, 2.0,
5.2, 2.5, 5.1, 2.8, 4.6, 2.6,
     
//, left, center, ,  stark
4.3, 2.5, 4.1, 2.8, 4.0, 2.4,
     
//, right, eye ,  
5.1, 4.2, 5.2, 4.9, 5.0, 4.5,
5.0, 4.5, 5.2, 4.9, 5.0, 5.1,
5.0, 5.1, 5.2, 4.9, 4.9, 5.5,
4.9, 5.5, 4.5, 5.0, 5.0, 5.1,
4.5, 5.0, 4.9, 5.5, 3.9, 5.5,
3.9, 5.5, 3.8, 4.9, 4.5, 5.0,
3.8, 4.9, 3.9, 5.5, 3.3, 5.0,
3.3, 5.0, 3.6, 4.6, 3.8, 4.9,
3.3, 5.0, 3.3, 4.4, 3.6, 4.6,
3.6, 4.6, 3.3, 4.4, 4.0, 3.7,
4.0, 3.7, 4.2, 4.5, 3.6, 4.6,
4.0, 3.7, 4.3, 3.9, 4.2, 4.5,
3.1, 3.5, 4.6, 3.8, 4.3, 3.9,
4.3, 3.9, 4.6, 3.8, 4.7, 4.1,
4.7, 4.1, 4.6, 3.8, 5.1, 4.2,
5.1, 4.2, 5.0, 4.5, 4.7, 4.1,
4.2, 4.5, 3.9, 4.7, 3.6, 4.6,
3.9, 4.7, 4.2, 4.5, 4.5, 5.0,
4.5, 5.0, 3.8, 4.9, 3.9, 4.7,
     
//, right, top, ,  shine
4.3, i3.9, 4.7, 4.1, 4.2, 4.5,
4.2, 4.5, 4.7, 4.1, 5.0, 4.5,
5.0, 4.5, 4.5, 5.0, 4.2, 4.5,
5.0, 4.5, 5.0, 5.1, 4.5, 5.0,
     
//, right, center, ,  stark
3.9, 4.7, 3.8, 4.9, 3.6, 4.6,
